"STANDARD_CODE","VERSION","EQUIPMENTTYPE","SPECIFICATION","MINVALUE","MAXVALUE","UNIT","DESCRIPTION"
"DNV-ST-F101","2021","Pipeline","UsageFactor",0.77,0.90,"-","Characteristic material resistance factor"
"DNV-ST-F101","2021","Pipeline","DesignPressureMargin",1.00,1.10,"-","Design pressure margin"
"DNV-ST-F101","2021","Pipeline","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance"
"DNV-ST-F101","2021","Pipeline","MaxPressure",0.00,450.00,"barg","Maximum design pressure"
"DNV-ST-F101","2021","Pipeline","MinTemperature",-46.00,-46.00,"C","Minimum design temperature"
"DNV-ST-F101","2021","Pipeline","MaxTemperature",175.00,175.00,"C","Maximum design temperature"
"DNV-ST-F101","2021","Pipeline","SafetyClassFactor",1.046,1.308,"-","Safety class factor (Low to High)"
"DNV-ST-F101","2021","AdiabaticPipe","UsageFactor",0.77,0.90,"-","Usage factor"
"DNV-ST-F101","2021","AdiabaticPipe","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance"
"DNV-OS-F101","2013","Pipeline","UsageFactor",0.77,0.87,"-","Legacy usage factor"
"DNV-OS-F101","2013","Pipeline","CorrosionAllowance",3.00,6.00,"mm","Corrosion allowance"
"DNV-RP-F105","2021","Pipeline","SafetyFactor",1.15,1.30,"-","Safety factor for free spans"
"DNV-RP-F105","2021","Pipeline","FatigueDesignFactor",3.00,10.00,"-","Fatigue design factor"
"ISO-13623","2017","Pipeline","MaxPressure",0.00,250.00,"barg","Maximum operating pressure"
"ISO-13623","2017","Pipeline","DesignFactor",0.72,0.72,"-","Design factor"
"ISO-13623","2017","Pipeline","JointEfficiency",0.80,1.00,"-","Joint efficiency"
"ISO-13623","2017","Pipeline","CorrosionAllowance",2.00,6.00,"mm","Corrosion allowance"
"ISO-15649","2001","Pipe","MaxPressure",0.00,100.00,"barg","Maximum operating pressure"
"ISO-15649","2001","Pipe","JointEfficiency",0.80,1.00,"-","Joint efficiency"
"ISO-16812","2019","HeatExchanger","MaxPressure",0.00,300.00,"barg","Maximum design pressure"
"ISO-16812","2019","HeatExchanger","MaxTemperature",-196.00,550.00,"C","Temperature range"
"ISO-16812","2019","HeatExchanger","CorrosionAllowance",1.50,3.00,"mm","Corrosion allowance"
"EN-13445","2021","Separator","MaxPressure",0.00,400.00,"barg","Maximum design pressure"
"EN-13445","2021","Separator","JointEfficiency",0.70,1.00,"-","Joint coefficient"
"EN-13445","2021","Separator","CorrosionAllowance",1.00,3.00,"mm","Corrosion allowance"
"EN-13445","2021","GasScrubber","MaxPressure",0.00,400.00,"barg","Maximum design pressure"
"EN-13445","2021","GasScrubber","JointEfficiency",0.70,1.00,"-","Joint coefficient"
"EN-13480","2017","Pipe","MaxPressure",0.00,100.00,"barg","Maximum design pressure"
"EN-13480","2017","Pipe","JointEfficiency",0.80,1.00,"-","Joint coefficient"
"EN-13480","2017","Pipe","CorrosionAllowance",1.00,3.00,"mm","Corrosion allowance"
"PD-5500","2021","Separator","MaxPressure",0.00,400.00,"barg","Maximum design pressure"
"PD-5500","2021","Separator","JointEfficiency",0.65,1.00,"-","Joint efficiency"
"PD-5500","2021","Separator","CorrosionAllowance",1.50,3.00,"mm","Corrosion allowance"
"PD-5500","2021","GasScrubber","MaxPressure",0.00,400.00,"barg","Maximum design pressure"
"PD-5500","2021","GasScrubber","JointEfficiency",0.65,1.00,"-","Joint efficiency"
